account_id,risk_score,is_synthetic,home_lat,home_lon
ACC-00001,0.16,True,19.05355458063435,72.94615286992908
ACC-00002,0.2,True,19.05569448214883,72.85140657994532
ACC-00003,0.05,True,19.08083774592194,72.95430542802157
ACC-00004,0.19,True,18.995262506885435,72.94773719096798
ACC-00005,0.09,True,19.003724092612735,72.87372354422554
ACC-00006,0.07,True,19.094095713536525,72.84857303475555
ACC-00007,0.01,True,19.036128094146495,72.86263205629251
ACC-00008,0.01,True,19.129726489511498,73.01023072460006
ACC-00009,0.14,True,19.087263486100753,72.97072122234665
ACC-00010,0.09,True,19.10633810751032,72.88326954859033
ACC-00011,0.05,True,19.146534616021047,72.84659232241897
ACC-00012,0.12,True,19.06051445940967,72.88285205177905
ACC-00013,0.05,True,19.047275664729188,72.88919134633083
ACC-00014,0.12,True,19.11958512927994,72.81483206311952
ACC-00015,0.07,True,19.101475678196486,72.88100206346076
ACC-00016,0.16,True,19.066633484508934,72.94312021624059
ACC-00017,0.16,True,19.145572898347798,72.78703216593917
ACC-00018,0.1,True,19.065387784508005,72.91832919825686
ACC-00019,0.07,True,19.07763868187779,72.94573989850274
ACC-00020,0.07,True,19.077061132541715,72.84897213274527
ACC-00021,0.16,True,19.02927030525508,72.96170878790954
ACC-00022,0.07,True,19.07987926947432,72.84248314687758
ACC-00023,0.04,True,19.145838008869926,72.89905413309302
ACC-00024,0.02,True,19.098248415768808,72.8616613657668
ACC-00025,0.09,True,19.07755317131995,72.86165018214186
ACC-00026,0.1,True,19.067911635941716,72.84613504651209
ACC-00027,0.17,True,19.092543351420318,72.91192877404309
ACC-00028,0.04,True,19.11348833142446,72.91944027288656
ACC-00029,0.08,True,19.106461941544488,72.87377889002114
ACC-00030,0.16,True,19.059406756908903,72.80900158931638
ACC-00031,0.16,True,19.092239079705507,72.89715850833171
ACC-00032,0.08,True,19.099996987057416,72.89810071797054
ACC-00033,0.09,True,19.025640250623653,72.86616424943067
ACC-00034,0.06,True,19.084411527059185,72.97036156435904
ACC-00035,0.19,True,18.967934805684884,72.79880353675496
ACC-00036,0.02,True,19.10012668549106,72.76613581448731
ACC-00037,0.19,True,19.109017152728136,72.84045825501511
ACC-00038,0.14,True,19.113377306289323,72.91252122670457
ACC-00039,0.11,True,19.056247657391523,72.8242077681283
ACC-00040,0.01,True,19.091452341751204,72.8279514540737
ACC-00041,0.1,True,19.147197692277057,72.9245510668089
ACC-00042,0.08,True,19.146688482414564,72.90012739613988
ACC-00043,0.03,True,19.074541365038673,72.89585304548142
ACC-00044,0.13,True,19.08296598153648,72.91607144597327
ACC-00045,0.19,True,19.131545557236723,72.85574035233635
ACC-00046,0.11,True,19.000959899236893,72.85805079629709
ACC-00047,0.14,True,19.059846212866148,72.91748896362806
ACC-00048,0.01,True,19.142778522776837,72.80975566096093
ACC-00049,0.08,True,19.12476002708424,72.76986400768007
ACC-00050,0.02,True,19.094463188882496,72.85533579131861
ACC-00051,0.12,True,19.00070837973347,72.92354366445328
ACC-00052,0.19,True,19.073504488347943,72.88977798494933
ACC-00053,0.13,True,19.046504230187505,72.91986457520615
ACC-00054,0.02,True,19.092551945140862,72.77618528447884
ACC-00055,0.07,True,19.035532665760257,72.89277484041617
ACC-00056,0.11,True,19.02471383025127,72.90969322523212
ACC-00057,0.08,True,18.97275673611582,72.80946012886946
ACC-00058,0.17,True,19.137090234248834,72.92010287952732
ACC-00059,0.16,True,19.056011474427848,72.8714240551747
ACC-00060,0.12,True,19.083857289185126,73.0305668350803
ACC-00061,0.07,True,19.075888094176292,72.76813819655516
ACC-00062,0.05,True,19.022628303351976,72.94545571838373
ACC-00063,0.02,True,19.01304675442759,72.85729209517369
ACC-00064,0.07,True,19.02573424370014,72.796142414278
ACC-00065,0.08,True,19.03984157805853,72.85065224282175
ACC-00066,0.14,True,19.094330312350692,72.89087396206686
ACC-00067,0.13,True,19.03621411682397,72.92887333347825
ACC-00068,0.01,True,19.163324531579732,72.9630982144066
ACC-00069,0.08,True,19.12735755179466,72.94809465443521
ACC-00070,0.04,True,19.116417977483287,72.82873089896476
ACC-00071,0.03,True,19.07001705487634,72.9335082346133
ACC-00072,0.17,True,19.151714036786025,72.89656424785603
ACC-00073,0.01,True,19.065099718443943,72.84426984895354
ACC-00074,0.08,True,19.07443692929229,72.86640447032612
ACC-00075,0.03,True,19.084498726987466,72.84150786702776
ACC-00076,0.18,True,19.111091152027168,72.87885461709682
ACC-00077,0.11,True,19.10784540395015,72.84051710588528
ACC-00078,0.05,True,19.05224373607777,72.82560029633912
ACC-00079,0.1,True,19.049350314028704,72.90095595638914
ACC-00080,0.15,True,19.107995147857604,72.90843652741297
ACC-00081,0.19,True,19.111761829194563,72.86762014999542
ACC-00082,0.04,True,19.05633244375886,72.9453825651968
ACC-00083,0.18,True,18.996640596516077,72.86397847067524
ACC-00084,0.19,True,19.06563419519959,72.86186127274372
ACC-00085,0.18,True,19.107176289941293,72.91002444911729
ACC-00086,0.13,True,19.16627084232099,72.87037872075283
ACC-00087,0.13,True,19.016102101882968,72.8812398864513
ACC-00088,0.08,True,19.054671437358472,72.75097807646904
ACC-00089,0.15,True,19.056529821923732,72.87783536923689
ACC-00090,0.11,True,19.143790266971575,72.78564020312643
ACC-00091,0.14,True,19.07425292497707,72.81595247145005
ACC-00092,0.09,True,19.03063367203139,72.81023387306222
ACC-00093,0.15,True,19.103934764146093,72.8248708423233
ACC-00094,0.16,True,19.055768073997953,72.84955730701839
ACC-00095,0.03,True,19.0147806363321,72.85267536922272
ACC-00096,0.17,True,19.031361334636195,72.91021376021286
ACC-00097,0.11,True,19.16270209772113,72.88811939070673
ACC-00098,0.17,True,19.095210461082473,72.78194627855909
ACC-00099,0.09,True,19.081388002772627,72.88116473187733
ACC-00100,0.08,True,19.063505313209397,72.89291276232916
ACC-00101,0.18,True,19.09060744210594,72.86057167418734
ACC-00102,0.05,True,19.090011797300125,72.87395570115466
ACC-00103,0.17,True,19.090608441410367,72.88651550626984
ACC-00104,0.1,True,19.081742254513888,72.91522997988177
ACC-00105,0.1,True,19.11943991691528,72.79825600062686
ACC-00106,0.06,True,19.07715521730004,72.86478414806801
ACC-00107,0.11,True,19.02710305822237,72.95241680490288
ACC-00108,0.07,True,19.045378855454956,72.9478330654149
ACC-00109,0.01,True,18.977049065325517,72.91954684638878
ACC-00110,0.05,True,19.17734085580212,72.90384123419778
ACC-00111,0.0,True,19.119137729597636,72.9597317374201
ACC-00112,0.2,True,19.03449647524354,72.97289240008033
ACC-00113,0.19,True,19.061907757530147,72.87054600059766
ACC-00114,0.08,True,19.04415617628968,72.82852837783558
ACC-00115,0.15,True,19.153127360568707,72.86348538411877
ACC-00116,0.07,True,19.005006141786453,73.0318347756886
ACC-00117,0.13,True,19.08172380294094,72.79853218286374
ACC-00118,0.16,True,19.070573607871758,72.85347304302353
ACC-00119,0.19,True,19.117341931535456,72.80636544237537
ACC-00120,0.08,True,19.070799538613766,72.88323819314387
ACC-00121,0.16,True,18.98808955616723,72.81686544855525
ACC-00122,0.05,True,19.063444108267877,72.87156244885831
ACC-00123,0.2,True,19.027391889102834,72.77949524199906
ACC-00124,0.01,True,19.07997897732783,72.90788103325423
ACC-00125,0.12,True,19.147708851826017,72.9381172628234
ACC-00126,0.13,True,18.989028737788388,72.85780281889683
ACC-00127,0.14,True,19.035988863230006,72.87024349964621
ACC-00128,0.02,True,19.048365352310825,72.86882963846342
ACC-00129,0.19,True,19.05691844522934,72.88604553376125
ACC-00130,0.04,True,19.113006283205262,72.87509152065168
ACC-00131,0.12,True,19.06732277912193,72.91540584762153
ACC-00132,0.04,True,19.09679013628602,72.93865195667254
ACC-00133,0.06,True,19.04471134781341,72.83629643887538
ACC-00134,0.11,True,19.087496217270896,72.86153357536128
